timeline,game_id,team,inning,score
6,1,1,2,1
6,1,0,3,0
6,1,1,3,0
6,1,0,4,0
6,1,1,4,0
6,1,0,5,0
6,1,1,5,0
6,1,0,6,0
6,1,1,6,0
6,1,0,7,0
6,1,1,7,0
6,1,0,8,2
6,1,1,8,1
6,1,0,9,0
6,1,1,9,1
7,1,0,1,0
7,1,1,1,0
7,1,0,2,0
7,1,1,2,0
7,1,0,3,0
7,1,1,3,0
7,1,0,4,2
7,1,1,4,0
7,1,0,5,0
7,1,1,5,2
7,1,0,6,1
7,1,1,6,0
7,1,0,7,0
7,1,1,7,0
7,1,0,8,0
7,1,1,8,0
7,1,0,9,0
7,1,1,9,1
7,1,0,10,0
7,1,1,10,0
7,1,0,11,0
7,1,1,11,0
7,1,0,12,0
7,1,1,12,1
8,1,0,1,0
8,1,1,1,0
8,1,0,2,0
8,1,1,2,0
8,1,0,3,0
8,1,1,3,0
8,1,0,4,0
8,1,1,4,0
8,1,0,5,0
8,1,1,5,0
8,1,0,6,1
8,1,1,6,2
8,1,0,7,1
8,1,1,7,1
8,1,0,8,1
8,1,1,8,0
8,1,0,9,0
8,1,1,9,1
9,1,0,1,0
9,1,1,1,0
9,1,0,2,1
9,1,1,2,0
9,1,0,3,0
9,1,1,3,0
9,1,0,4,0
9,1,1,4,0
9,1,0,5,0
9,1,1,5,0
9,1,0,6,0
9,1,1,6,0
9,1,0,7,1
9,1,1,7,1
9,1,0,8,0
9,1,1,8,0
9,1,0,9,0
9,1,1,9,0
10,1,0,1,1
10,1,1,1,0
10,1,0,2,0
10,1,1,2,0
10,1,0,3,0
10,1,1,3,0
10,1,0,4,1
10,1,1,4,0
10,1,0,5,0
10,1,1,5,0
10,1,0,6,0
10,1,1,6,1
10,1,0,7,1
10,1,1,7,2
10,1,0,8,0
10,1,1,8,0
10,1,0,9,0
10,1,1,9,1
11,1,0,1,1
11,1,1,1,2
11,1,0,2,0
11,1,1,2,0
11,1,0,3,0
11,1,1,3,0
11,1,0,4,0
11,1,1,4,0
11,1,0,5,0
11,1,1,5,0
11,1,0,6,0
11,1,1,6,0
11,1,0,7,0
11,1,1,7,0
11,1,0,8,1
11,1,1,8,0
11,1,0,9,1
11,1,1,9,0
12,1,0,1,1
12,1,1,1,0
12,1,0,2,0
12,1,1,2,0
12,1,0,3,0
12,1,1,3,2
12,1,0,4,0
12,1,1,4,1
12,1,0,5,1
12,1,1,5,0
12,1,0,6,0
12,1,1,6,0
12,1,0,7,0
12,1,1,7,0
12,1,0,8,1
12,1,1,8,0
12,1,0,9,0
12,1,1,9,0
12,1,0,10,0
12,1,1,10,0
12,1,0,11,0
12,1,1,11,0
12,1,0,12,0
12,1,1,12,0
12,1,0,13,0
12,1,1,13,0
12,1,0,14,0
12,1,1,14,0
12,1,0,15,1
12,1,1,15,0
13,1,0,1,2
13,1,1,1,0
