timeline,player_id,game_id,opponent_player_id,team_id,sac,balls,strikes,result,base1,base2,base3,Close,pinch,inning,run_diff,outs,sb,cs,rbi,r,spot,hit_loc,hit_xy,exit_velo,launch_angle
3,21,1,33,1,0,0,2,4,0,0,0,1,0,8,-1,1,0,0,0,0,6,38,204,131,2
3,24,1,38,1,0,0,0,10,0,0,0,1,0,1,0,1,0,0,0,0,2,255,255,0,0
3,24,1,38,1,0,0,1,6,0,0,0,1,0,3,1,1,0,0,0,1,2,59,110,154,26
3,24,1,38,1,0,0,0,7,0,0,0,1,0,5,0,1,0,0,0,0,2,44,14,169,14
3,24,1,38,1,0,1,2,4,1,0,0,1,0,7,0,1,0,0,0,1,2,38,126,161,3
3,24,1,33,1,0,3,1,4,1,0,0,1,0,9,-1,2,0,0,0,0,2,25,137,165,5
3,26,1,10,2,0,3,2,4,0,0,0,1,0,1,0,1,0,0,0,0,2,14,139,134,5
3,26,1,10,2,0,1,2,7,0,0,0,1,0,3,-1,0,0,0,0,1,2,45,212,165,10
3,26,1,10,2,0,2,0,4,0,0,0,1,0,5,0,1,0,0,0,0,2,27,33,136,0
3,26,1,10,2,0,1,1,4,1,1,0,1,0,7,-1,1,0,0,0,0,2,12,109,132,1
3,27,1,10,2,0,2,2,4,1,0,0,1,0,1,0,2,0,0,0,0,4,38,132,164,2
3,27,1,10,2,1,1,0,5,0,0,1,1,0,3,-1,1,0,0,1,0,4,64,114,155,43
3,27,1,10,2,0,2,0,4,0,0,0,1,0,6,0,0,0,0,0,0,4,29,153,143,6
3,27,1,10,2,0,3,1,5,0,0,0,1,0,8,-1,1,0,0,0,0,4,66,110,146,21
3,29,1,10,2,0,1,1,4,0,0,0,1,0,1,0,0,0,0,0,0,1,3,23,116,-4
3,29,1,10,2,0,1,1,4,1,1,0,1,0,2,1,2,0,0,0,0,1,29,120,146,2
3,29,1,10,2,0,1,0,4,0,0,0,1,0,5,0,0,0,0,0,0,1,31,179,133,0
3,29,1,10,2,0,2,1,6,1,0,0,1,0,7,-1,1,0,0,0,0,1,56,161,155,20
3,31,1,3,2,0,2,2,5,0,0,0,1,1,9,-1,2,0,0,0,0,8,23,129,139,44
3,32,1,10,2,0,2,2,1,1,0,0,1,1,7,-1,0,0,0,0,0,9,255,255,0,0
3,34,1,10,2,0,1,0,6,1,0,0,1,0,2,0,2,0,0,0,0,8,39,49,152,7
3,34,1,10,2,0,0,1,4,0,1,0,1,0,4,0,1,0,0,0,0,8,3,179,102,4
3,34,1,10,2,0,0,0,6,0,0,0,1,0,7,-1,0,0,0,0,0,8,45,172,144,34
3,38,1,10,2,0,0,1,6,1,1,0,1,0,2,0,2,0,0,1,0,9,56,121,168,16
